id,account_id,active_topics,bps_plan,decline_rate,purchased_posts,declined_posts,last_purchase_at,other_info,plan_words,plan_name,primary_industry,queued_posts,submitted_posts,preferred_writers,state,recently_started_on,recently_canceled_on,current_lifetime_days
6039,14466,7,Content,0.17117117117117117,92,19,2018-06-25T00:00:00.000-06:00,"Glenvale Villas is a private aged care community that provides supported living. Customer segment is those requiring some level of care. NOT a retirement home.

Key differences to traditional nursing homes.
See http://www.glenvalevillas.com.au/no-to-nursing-homes
 for more info:

The care of an aged care facility, with the independence of a retirement village.
Residents buy in and own their own home. Traditional nursing home system in Australia uses a bond system - you never own your home. 
Homes are fully self contained with kitchen, lounge, bedroom, laundry and balcony. Traditional nursing homes give you one room with a bed and bathroom.
Homes are 3 times the size of nursing home rooms.
Residents have full independence to come and go as they like.
Residents have a network of 24/7 nursing care around them, which we call a Continuous Care system
Continuous Care is available from low care right up to high care general nursing, providing true ageing-in-place. When residents' care needs increase they do not need to move out.
Continuous Care can increase to your needs and reduce when you don’t need as much care.
Continuous Care is individualised, so couples with different care needs can stay together. The traditional nursing home system will split them apart.
Residents also have a support network (domestic) that will help with everything from doing the laundry to supplying meals.
Residents can choose to make their own meals in their own homes, eat in the community restaurant, or have meals from the restaurant delivered to their door.
Residents only pay for what they use. Fees increase if care or support increases, but fees also reduce when care and support reduces. 
A Director of Care monitors all residents regularly to provide preventative care.
A Registered Nurse is on staff. 
Residents can alter and decorate their homes as they wish.
Residents can sell their home when they move out.

Main focus of blog:
Fresh content weekly.
Aged care has a negative perception of old style nursing homes, which still exist. Attempting to educate market that we are different. 
Most website visitors are the adult children (50-60 years old) of those needing aged care. They have strong emotions about their parents welfare, and usually stubborn parents.
A visit to the community normally changes people’s perceptions completely, but getting them to visit is difficult.
People are hesitant to move to aged care because they feel their life will be over. Attempting to educate that they still have full independence and their own home.
Crisis is usually the main decision maker, which is often too late. Attempting to educate market to be ‘forward thinkers’

Terms to use:
Community - never use ‘facility’
Older - never use ‘elderly’
Residents - never use ‘patients'
Aged care - never use ‘retirement'
Never use ‘nursing home’ unless referring to the traditional system.",300,Basic - 300 words,,6,118,0,active,2017-11-15T00:00:00.000-07:00,,233
6052,14647,12,Content,0.24324324324324326,84,27,2018-06-11T00:00:00.000-06:00,"Compliance Management Solutions for the Petroleum industry.
Our family of solutions help companies optimize business processes, increase customer satisfaction and streamline global compliance management requirements.
",300,Basic - 300 words,Business Consulting,1,112,4,expired,2018-04-26T00:00:00.000-06:00,2018-05-22T00:00:00.000-06:00,30
6198,13990,11,Content,0.043010752688172046,89,4,2018-02-15T00:00:00.000-07:00,,300,Basic - 300 words,,2,113,0,expired,2017-07-25T00:00:00.000-06:00,2018-02-09T00:00:00.000-07:00,215
6484,16526,4,Content,0.012345679012345678,80,1,2018-01-02T00:00:00.000-07:00,We are an ecom site that specializes in the sale of world globes. We would like to take a fresh approach to what we are serving up. The goal is to promote a new globe style twice a month while serving up historic travel or unique information about a destination once per week for a total of 6 articles per month.  We dont want the blog to be only self promotion.,300,Basic - 300 words,,11,99,7,expired,2017-07-06T00:00:00.000-06:00,2017-12-27T00:00:00.000-07:00,184
6486,16528,1,Content,0.36363636363636365,14,8,2015-09-24T00:00:00.000-06:00,,600,Basic - 600 words,E-commerce,1,24,3,active,2018-06-27T00:00:00.000-06:00,,9
6642,17049,2,+Photo,0.25,54,18,2018-06-29T00:00:00.000-06:00,"Infoedge helps organizations use information to its fullest, so they can improve customer experience, accelerate innovation and manage risk.

In a world of consultants trapped in the old model of business, infoedge is different. We focus on your success by implementing information-centric strategies. We are a transparent and agile consulting firm made up of highly skilled minds. Our commitment is to continual improvement – whether that is individually or for your business. Our clients include some of the world’s leading brands in commerce, healthcare and financial services. With our guidance, they identify and quantify business opportunities, developing compelling customer experiences and managing their information risk.",600,Basic - 600 words,Business Consulting,0,73,1,active,2017-11-28T00:00:00.000-07:00,,220
6776,17170,0,Content,0.0,24,0,2017-11-22T00:00:00.000-07:00,,600,Content - 600+ words,,0,24,1,expired,2017-10-18T00:00:00.000-06:00,2017-11-22T00:00:00.000-07:00,43
6942,16938,1,Content,0.21212121212121213,104,28,2018-05-31T00:00:00.000-06:00,"About Us

Since 2001, IRH Capital has been providing financing to small businesses to help them develop and grow. 

We specialize in Equipment Leasing, Franchise Financing, Working Capital, and SBA Loans.

We are proud to have earned an A+ rating with the Better Business Bureau.

We have been the leading trusted financial company throughout the country since our inception because we take pride in helping small businesses grow by getting the funding they need at the best available terms. 

We offer the best service available in the industry combined with aggressive terms.

With our simplified loan application process with minimum paperwork, we offer extensive business loan programs to help customize an affordable funding plan for your small business needs. Whether your business is building a new store, acquiring an existing unit, upgrading equipment, or remodeling…

IRH Capital is a partner you can trust. We are committed to our customers and passionate about our business.",300,Basic - 300 words,Accounting & Finance,0,134,10,expired,2018-01-12T00:00:00.000-07:00,2018-06-07T00:00:00.000-06:00,151
7066,18138,1,Content,0.14893617021276595,40,7,2018-02-27T00:00:00.000-07:00,"We are a local indoor paintball park in San Diego that offers paintball games, nerf games, archery tag games, along with other fun activities. We specialize in low impact paintball which you can read more about in the link below. Our main clientele is group based and we specialize in birthday parties, bachelor parties, corporate team building events, along with other types of groups such as church groups. ",2000,Basic - 2000 words,,1,50,1,active,2018-02-16T00:00:00.000-07:00,,140
7096,18195,16,Content,0.3142857142857143,24,11,2018-06-11T00:00:00.000-06:00,"We are a Web design and development company. We want blog articles written to increase traffic to our website. The blog articles should not be sales oriented but should compel people to want us to build a website for them.
Articles on: eCommerce industry (improving your eCommerce business), web and website security, SEO improvements, articles for business owners to attract more customers, Website design tips, etc.",1000,Basic - 1000 words,E-commerce,6,57,1,canceled,2017-12-28T00:00:00.000-07:00,2018-06-11T00:00:00.000-06:00,190
7334,17218,51,Content,0.08620689655172414,53,5,2018-07-05T00:00:00.000-06:00,"Major Painting Company is a business that focuses on Commercial and Residential painting. They're looking to have HALF commercial painting posts and HALF general audience/residential posts - this is extremely important. So the B2B/ niche would focus on commercial painters or people looking for that service, and general audience can apply to any audience but still should apply to potential clients.

Please include (backup your writing) and cite sources in-line

Update June 2018 until Sept 2018: please focus on commercial painting a little more. So instead of 50%, maybe ~70%. Right now, we're receiving a lot of residential-related topics, and we need some commercial/industrial/office-related posts. Thanks!",300,Basic - 300 words,Other,23,88,2,active,2017-12-21T00:00:00.000-07:00,,197
7373,3313,14,Content,0.03409090909090909,85,3,2018-04-20T00:00:00.000-06:00,"Russell Roofing and Exteriors is a commercial and residential exterior design, repair, and installation company. We offer complete services from Roofing and Exterior repair to exterior design consultation and new installation services. Maintain your home with free inspections and Russell SoftWash roofing and exterior cleaning services. 

Marketing Info:
They service both Residential (70%) and Commercial (30%) clients.

These are the following topics/ services we will be focusing on:
* Roofing - general (primary)
* Roofing - emergency
* Gutter / Gutter Systems
* Siding
* Windows & Doors
* Masonry
* Skylights & Tunnels

End tag:  ""If it’s Russell, it’s Right... Guaranteed!""

Thank you!",300,Basic - 300 words,Home Repair & Home Maintenance,4,100,32,expired,2017-08-23T00:00:00.000-06:00,2018-04-20T00:00:00.000-06:00,243
7492,18868,4,+Optimize,0.16470588235294117,71,14,2018-06-28T00:00:00.000-06:00,"Lifestyle
Motivational
Startups
New Technology Companies/Trends
Industry Breakthroughs
Efficiency Habits
Career Advice

USE THE FOLLOWING KEYWORD IN THE BLOGS:
Courier Services 
International Shipping companies 
Shipping Companies in Canada 
Courier Services Canada 
International Shipping companies in Canada
",350,Basic - 350 words,,6,92,10,active,2018-03-28T00:00:00.000-06:00,,100
7513,18902,0,Content,0.0660377358490566,99,7,2018-05-17T00:00:00.000-06:00,"I'm interested in having you write an article for our website, FulfillmentCompanies.net. We connect businesses with thoroughly screened warehousing and fulfillment companies that meet the specific needs of their project. 

The tone of our site is very professional oriented and fact oriented (detailed). We try to provide companies with insights into the industry and helpful tips to select the appropriate vendor.

Important note - we have a number of sites that look/feel very similar, but that have completely unique content. These are ""micro"" sites, and address the various keyword silos for SEO purposes. Examples of these sites are 3PLcompanies.net, warehousing companies.net, etc. Some of the content that you write may be placed on one of these other sites, depending upon the keywords used for the article. ",600,Basic - 600 words,,0,106,0,expired,2018-04-18T00:00:00.000-06:00,2018-05-17T00:00:00.000-06:00,30
7632,19079,1,Content,0.25862068965517243,43,15,2017-09-22T00:00:00.000-06:00,,250,Content - 250+ words,,0,62,0,expired,2017-08-27T00:00:00.000-06:00,2017-09-22T00:00:00.000-06:00,31
7768,18902,0,Content,0.10576923076923077,93,11,2018-01-25T00:00:00.000-07:00,We connect businesses with 3PL (third party logistics) warehousing solutions that compete for their business. We are an online marketplace for 3PL services. ,1500,Basic - 1500 words,,0,104,0,expired,2018-01-01T00:00:00.000-07:00,2018-01-31T00:00:00.000-07:00,31
8153,302,13,+Optimize,0.056,118,7,2018-07-05T00:00:00.000-06:00,"Personal Injury law firm serving Los Angeles and the greater Los Angeles area, including the San Fernando Valley, Woodland Hills, Van Nuys, Encino, Thousand Oak and North Hollywood

see website for topic ideas.  Any practice area covered on site is a good topic for a blog. ",600,Basic - 600 words,Legal,9,140,0,active,2017-12-13T00:00:00.000-07:00,,205
8170,16484,5,Content,0.16363636363636364,46,9,2018-07-05T00:00:00.000-06:00,"This also relates to the athletic category and medical. 

Alot of athletes come to this doctor, but this doctor also treats a bunch of other things as well. ",300,Basic - 300 words,,3,59,1,active,2017-11-29T00:00:00.000-07:00,,219
8222,20146,3,Content,0.2905982905982906,83,34,2017-12-06T00:00:00.000-07:00,I'm looking for topical posts regarding women and gender in the workplace with a specific focus on start-up culture.,250,Content - 250+ words,,1,122,13,expired,2017-07-15T00:00:00.000-06:00,2017-11-15T00:00:00.000-07:00,153
8280,6450,0,Content,0.42857142857142855,8,6,2018-02-09T00:00:00.000-07:00,,600,Basic - 600 words,,0,15,0,expired,2017-12-05T00:00:00.000-07:00,2018-02-23T00:00:00.000-07:00,90
8283,20235,0,Content,0.09836065573770492,55,6,2018-04-03T00:00:00.000-06:00,"U.S. audience.

No SEO or keyword repeating needed.",600,Basic - 600 words,Accounting & Finance,0,61,1,expired,2017-12-13T00:00:00.000-07:00,2018-03-03T00:00:00.000-07:00,90
8314,20243,4,+Optimize,0.12195121951219512,36,5,2018-06-11T00:00:00.000-06:00,"My goal is to help companies have a better online presence. Let's have some fun and create great readable content. 

We were selected as a top digital marketing agency here in Tampa Bay https://www.expertise.com/fl/tampa/digital-marketing-agencies#provider4 ",600,Basic - 600 words,Marketing & Advertising,9,59,18,active,2018-02-11T00:00:00.000-07:00,,145
8352,20334,32,Content,0.02727272727272727,107,3,2018-06-25T00:00:00.000-06:00,"we would like to give content to our customers through our blog that educates our customers on various aspects of roofing such as asphalt roofing cedar shake roofing flat roofing and such while also providing a sense of us (BRAX Roofing) and them working together as a team. However we are completely open to suggestions! 

",300,Basic - 300 words,Construction,33,143,7,active,2018-02-07T00:00:00.000-07:00,,149
